Lake_Name_Standardized,Date,Station name,Station code,water_bodies,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Source_File,Nitrate,COD,Free Ammonia  (mg/L),P/R Ratio,Total Phosphate (mg/L),Ortho Phosphate (mg/L),Any Other,Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe),% Sodium,Unnamed: 36,Unnamed: 37,Free Ammonia,Ammonia  (mg/L),Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,COD (mg/L).1,Sodium %,Faecal streptococci,Fecal streptococci,Unnamed: 38,District,RO,Total coliform (MPN/100ml),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Ammonia,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Conductivity (μs/cm),Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,Unnamed: 58,Classes,Remarks,Unnamed: 48
Hussain Sagar,December 2018,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,2.2,7.64,1471.0,10.0,,,32,460.0,,,16.86,BDL,325.0,176.0,,3.2,,370.0,84.0,38.0,112.0,142.0,895.0,,20.0,2.86,0.12,14.0,0.75,44.42,3.22,12.csv,2.6,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,December 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,HMDA Area Lakes,6,7.48,348.0,2.0,,,NIL,20.0,,,6.0,BDL,105.0,29.0,,Less than 0.1,,110.0,22.0,10.94,15.0,23.0,209.0,,6.0,0.12,0.01,4.0,0.6,32.11,1.0,12.csv,0.29,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),January 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,River Musi,6.2,7.25,379.0,2.0,,0.1,NIL,24.0,,,60.0,0.0,110.0,46.0,12.0,4.0,,120.0,34.0,8.5,11.0,30.0,230.0,-,5.0,0.02,0.09,2.38,0.6,34.56,1.19,13.csv,0.0,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,January 2019,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,2.2,7.6,1464.0,10.0,,0.2,26,380.0,,,18.0,0.0,350.0,186.0,66.0,4.0,,405.0,94.0,41.31,105.0,143.0,840.0,-,10.0,2.49,0.16,10.0,0.95,42.54,3.08,13.csv,2.46,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,January 2019,Himayathsagar lake,1789,HMDA Area Lakes,6,7.2,380.0,2.0,,0.0,NIL,22.0,,,60.0,15.0,110.0,42.0,12.0,4.0,,140.0,32.0,14.58,18.0,22.0,222.0,-,5.0,0.32,0.09,2.3,0.54,24.97,0.81,13.csv,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,February 2019,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,2,7.54,1480.0,12.0,,Not Analysed,21,280.0,Not Analysed,Not Analysed,16.0,0.0,356.0,184.0,80.0,4.0,,385.0,84.0,42.52,98.0,152.0,932.0,Not Analysed,12,,0.13,6.0,0.84,45.56,3.36,14.csv,3.62,,Not Analysed,Not Analysed,2.36,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),February 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,HMDA Area Lakes,6,8.29,402.0,2.0,,Not Analysed,Less than 1.8,20.0,Not Analysed,Not Analysed,5.0,15.0,140.0,34.0,10.0,4.0,,130.0,24.0,17.01,10.0,30.0,250.0,Not Analysed,5,,0.09,2.0,0.6,32.83,1.14,14.csv,0.0,,Not Analysed,Not Analysed,0.02,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,February 2019,Himayathsagar lake,1789,HMDA Area Lakes,5.8,8.37,389.0,2.0,,Not Analysed,Less than 1.8,22.0,Not Analysed,Not Analysed,6.0,20.0,135.0,35.0,10.0,4.0,,140.0,32.0,14.58,14.0,27.0,242.0,Not Analysed,6,,0.09,2.0,0.42,29.06,0.99,14.csv,0.0,,Not Analysed,Not Analysed,0.21,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,March 2019,Hussain sagar Lake,1391,GHMC Areas Lakes /Tanks/ Cheruvus,2,7.62,1496.0,10.0,,,26,240.0,,,20.0,BDL,360.0,190.0,82.0,4.0,,395.0,84.0,44.95,109.0,160.0,884.0,,14.0,,0.2,4.0,0.84,46.36,3.49,15.csv,4.32,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),March 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,HMDA,5.8,8.1,410.0,2.0,,,Less than 1.8,22.0,,,6.0,BDL,135.0,38.0,10.0,4.0,,140.0,26.0,18.22,17.0,30.0,260.0,,8.0,,0.09,2.0,0.52,31.25,1.1,15.csv,0.0,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
